*************************************************************************             
 Light Scattering by Non-Spherical Particles + Polarization.                              
 Computation of Mueller matrix for convex polyhedron. 	         
 (Convex Hull Construction + Merge If Triangular Faces On Same Plane.)             
 Geometric optics + Monte Carlo, Diffraction is not considered.       		     
 2025.06 		     
 Mu Quan,  Email: mu.quan@foxmail.com 		     
*************************************************************************
The data read from the file is as follows:
refractiveIndex: 1.332000e+00+ i 0.000000e+00
positionNumber: 10000
batchSize: 10
batchNumber: 1
binNumber: 180
reflInsideControl: 10
totReflControl: 100
========================================================================== 
Hits counter: 33712; Total incoming NumPhoton:100000 (about 3.371200e+01%).
sum_Mlr_M11: 3.370689e+04; Missing:5.106788e+00 (about 1.514828e-02%).
Total run time: 2.956700e+01 seconds.
========================================================================== 
Scattering Angle      F11           -F12/F11         -F21/F11          F22/F11          F33/F11          F34/F11          F43/F11          F44/F11
+2.000000e+01    +5.562299e-01    +2.080517e-01    +2.084856e-01    +9.489119e-01    +9.078196e-01    -3.321012e-02    +3.302299e-02    +9.566931e-01
+2.100000e+01    +6.862837e-01    +1.741379e-01    +1.750881e-01    +9.381527e-01    +8.964837e-01    -6.870589e-02    +6.784943e-02    +9.546820e-01
+2.200000e+01    +5.201520e-01    +2.091214e-01    +2.102121e-01    +9.610186e-01    +9.091870e-01    -3.639751e-02    +3.689287e-02    +9.401568e-01
+2.300000e+01    +5.193178e-01    +2.236538e-01    +2.222756e-01    +9.496744e-01    +8.970508e-01    -5.038400e-02    +4.957618e-02    +9.422877e-01
+2.400000e+01    +1.607030e+01    -3.468469e-02    -3.469928e-02    +9.974627e-01    +9.946572e-01    -2.737120e-03    +2.727465e-03    +9.970126e-01
+2.500000e+01    +1.215932e+01    -3.626721e-02    -3.626694e-02    +9.943149e-01    +9.911723e-01    -4.838457e-03    +4.846671e-03    +9.965840e-01
+2.600000e+01    +9.554408e+00    -3.502542e-02    -3.501414e-02    +9.960772e-01    +9.917240e-01    -2.515108e-03    +3.054511e-03    +9.950052e-01
+2.700000e+01    +8.348314e+00    -3.578075e-02    -3.574657e-02    +9.922004e-01    +9.868371e-01    -4.872656e-03    +4.873675e-03    +9.942008e-01
+2.800000e+01    +6.576955e+00    -3.509566e-02    -3.509388e-02    +9.952476e-01    +9.887653e-01    -5.261362e-03    +5.337806e-03    +9.928057e-01
+2.900000e+01    +5.271065e+00    -3.707542e-02    -3.711385e-02    +9.930287e-01    +9.851639e-01    -7.265665e-03    +7.369447e-03    +9.910104e-01
+3.000000e+01    +4.009945e+00    -3.086526e-02    -3.095429e-02    +9.885867e-01    +9.773745e-01    -1.055673e-02    +1.186125e-02    +9.868451e-01
+3.100000e+01    +3.687856e+00    -3.097776e-02    -3.098789e-02    +9.837356e-01    +9.669447e-01    -6.206666e-03    +3.562079e-03    +9.794624e-01
+3.200000e+01    +2.878878e+00    -2.768597e-02    -2.739714e-02    +9.801130e-01    +9.550862e-01    -1.349642e-02    +1.420935e-02    +9.726182e-01
+3.300000e+01    +2.441634e+00    -3.539313e-02    -3.559791e-02    +9.786731e-01    +9.467368e-01    -2.412681e-02    +2.029542e-02    +9.617107e-01
+3.400000e+01    +2.104430e+00    -1.760957e-02    -1.735156e-02    +9.586087e-01    +9.127286e-01    -6.558563e-03    +6.836458e-03    +9.502822e-01
+3.500000e+01    +1.715202e+00    -2.070599e-03    -2.061353e-03    +9.584873e-01    +8.849025e-01    -1.942946e-02    +1.959181e-02    +9.202613e-01
+3.600000e+01    +1.421326e+00    +1.260065e-03    +1.051671e-03    +9.574971e-01    +8.616599e-01    -1.971113e-02    +1.795583e-02    +8.969592e-01
+3.700000e+01    +1.278357e+00    +2.524639e-02    +2.492731e-02    +9.453128e-01    +8.598076e-01    -4.262859e-02    +3.715986e-02    +9.057560e-01
+3.800000e+01    +1.228152e+00    +2.267938e-02    +2.250851e-02    +9.328441e-01    +8.307297e-01    -4.393710e-02    +4.478454e-02    +8.881706e-01
+3.900000e+01    +9.687578e-01    +4.502639e-02    +4.502205e-02    +8.991509e-01    +7.450165e-01    -6.746386e-02    +6.645212e-02    +8.333604e-01
+4.000000e+01    +8.696191e-01    +7.230019e-02    +7.041287e-02    +8.269520e-01    +5.552949e-01    -6.663413e-02    +6.331367e-02    +7.055025e-01
+4.100000e+01    +7.321035e-01    +8.782403e-02    +8.702254e-02    +8.680447e-01    +7.043341e-01    -9.320376e-02    +8.799548e-02    +8.104470e-01
+4.200000e+01    +7.589208e-01    +9.979459e-02    +9.914910e-02    +8.867481e-01    +5.724219e-01    -8.544453e-02    +8.325323e-02    +6.696805e-01
+4.300000e+01    +6.409008e-01    +1.071451e-01    +1.070235e-01    +8.725473e-01    +6.461705e-01    -1.510857e-01    +1.532576e-01    +7.577942e-01
+4.400000e+01    +5.665964e-01    +1.514672e-01    +1.509889e-01    +8.028923e-01    +5.774376e-01    -1.253773e-01    +8.748499e-02    +7.047838e-01
+4.500000e+01    +6.441405e-01    +1.135560e-01    +1.120343e-01    +8.470684e-01    +6.484364e-01    -1.602121e-01    +1.555362e-01    +7.779985e-01
+4.600000e+01    +4.850154e-01    +1.735493e-01    +1.725785e-01    +8.654530e-01    +7.455157e-01    -1.749981e-01    +1.645579e-01    +8.517104e-01
+4.700000e+01    +5.182914e-01    +1.391329e-01    +1.391506e-01    +8.941849e-01    +7.594940e-01    -1.935105e-01    +1.898131e-01    +8.315202e-01
+4.800000e+01    +4.893202e-01    +1.291849e-01    +1.315252e-01    +8.484063e-01    +7.524594e-01    -1.432768e-01    +1.397785e-01    +8.649464e-01
+4.900000e+01    +5.476860e-01    +1.278400e-01    +1.275092e-01    +8.184383e-01    +7.089487e-01    -1.361971e-01    +1.541282e-01    +8.427773e-01
+5.000000e+01    +4.765999e-01    +1.547472e-01    +1.558699e-01    +7.500743e-01    +6.250528e-01    -1.411159e-01    +1.613708e-01    +7.637649e-01
+5.100000e+01    +9.469892e-01    -2.494646e-02    -2.401137e-02    +9.166426e-01    +8.484683e-01    -6.663941e-02    +6.643684e-02    +9.041245e-01
+5.200000e+01    +1.007570e+00    -1.476554e-02    -1.439364e-02    +8.992968e-01    +8.303746e-01    -9.763356e-02    +9.234077e-02    +8.937043e-01
+5.300000e+01    +9.343436e-01    -2.715632e-02    -2.671005e-02    +8.528304e-01    +7.787474e-01    -1.000649e-01    +9.297279e-02    +8.859962e-01
+5.400000e+01    +8.544365e-01    -2.765453e-03    -1.688671e-03    +8.749484e-01    +7.889951e-01    -1.036733e-01    +9.671471e-02    +8.839882e-01
+5.500000e+01    +7.180825e-01    -1.077216e-02    -1.173348e-02    +8.748461e-01    +7.824577e-01    -1.391258e-01    +1.104057e-01    +8.476659e-01
+5.600000e+01    +6.044118e-01    +1.312556e-02    +1.299457e-02    +8.674744e-01    +7.792948e-01    -1.021304e-01    +1.219194e-01    +8.702748e-01
+5.700000e+01    +5.834209e-01    +4.496285e-02    +4.559906e-02    +8.816613e-01    +7.626914e-01    -1.773445e-01    +1.545214e-01    +8.352755e-01
+5.800000e+01    +6.116055e-01    +3.832377e-02    +3.539184e-02    +8.122770e-01    +7.175544e-01    -1.385527e-01    +1.166708e-01    +8.459675e-01
+5.900000e+01    +5.875971e-01    +7.242127e-02    +7.269824e-02    +7.938596e-01    +6.815742e-01    -1.205345e-01    +1.130010e-01    +8.182794e-01
+6.000000e+01    +6.580498e-01    +5.635961e-02    +6.003804e-02    +7.862274e-01    +6.812982e-01    -1.770603e-01    +1.873872e-01    +8.134277e-01
+6.100000e+01    +5.697136e-01    +7.049166e-02    +7.130574e-02    +7.228952e-01    +6.049259e-01    -1.380040e-01    +1.465694e-01    +8.114994e-01
+6.200000e+01    +4.962691e-01    +1.009668e-01    +9.975393e-02    +7.388313e-01    +6.044421e-01    -1.966191e-01    +1.877551e-01    +7.980707e-01
+6.300000e+01    +4.482697e-01    +1.144406e-01    +1.128686e-01    +7.048773e-01    +5.703891e-01    -1.708202e-01    +1.639643e-01    +7.651283e-01
+6.400000e+01    +5.221564e-01    +7.668754e-02    +7.400857e-02    +7.250551e-01    +5.853790e-01    -1.583542e-01    +1.488668e-01    +8.111963e-01
+6.500000e+01    +4.360164e-01    +9.031084e-02    +8.850095e-02    +7.262575e-01    +5.873097e-01    -1.769524e-01    +1.439699e-01    +7.817489e-01
+6.600000e+01    +3.896458e-01    +9.835920e-02    +1.009966e-01    +6.477148e-01    +5.069254e-01    -1.452368e-01    +1.609519e-01    +8.063604e-01
+6.700000e+01    +5.561929e-01    +6.877431e-02    +6.949909e-02    +7.293769e-01    +6.046954e-01    -1.851948e-01    +1.697687e-01    +8.349736e-01
+6.800000e+01    +5.204279e-01    +7.876893e-02    +7.964001e-02    +6.661041e-01    +5.340343e-01    -1.401578e-01    +1.241877e-01    +8.041843e-01
+6.900000e+01    +4.889154e-01    +7.515401e-02    +7.845867e-02    +6.937304e-01    +5.557964e-01    -1.446084e-01    +1.514889e-01    +7.906386e-01
+7.000000e+01    +4.996936e-01    +6.688274e-02    +6.674681e-02    +6.775678e-01    +5.547436e-01    -1.566735e-01    +1.616462e-01    +8.048292e-01
+7.100000e+01    +5.397186e-01    +8.214073e-02    +8.260443e-02    +6.169368e-01    +4.063694e-01    -7.999726e-02    +6.934619e-02    +7.298114e-01
+7.200000e+01    +5.607390e-01    +5.176938e-02    +5.218048e-02    +6.833392e-01    +4.945869e-01    -1.415907e-01    +1.423812e-01    +7.525286e-01
+7.300000e+01    +5.368374e-01    +7.165730e-02    +6.947068e-02    +6.409042e-01    +4.179050e-01    -1.156930e-01    +1.112749e-01    +7.005487e-01
+7.400000e+01    +5.004392e-01    +7.145634e-02    +7.145663e-02    +6.022687e-01    +3.705804e-01    -8.954729e-02    +9.254924e-02    +6.899562e-01
+7.500000e+01    +4.317293e-01    +7.805627e-02    +7.421584e-02    +6.336213e-01    +4.568813e-01    -1.238015e-01    +1.190078e-01    +7.441609e-01
+7.600000e+01    +5.128802e-01    +5.247671e-02    +4.989117e-02    +5.666826e-01    +4.346978e-01    -1.225041e-01    +1.048619e-01    +7.599955e-01
+7.700000e+01    +4.666571e-01    +7.569586e-02    +7.224406e-02    +5.779823e-01    +4.345998e-01    -1.284417e-01    +1.105295e-01    +7.857612e-01
+7.800000e+01    +4.591275e-01    +5.891749e-02    +5.860047e-02    +5.304717e-01    +4.126286e-01    -1.394360e-01    +1.432682e-01    +7.744453e-01
+7.900000e+01    +4.759949e-01    +5.985576e-02    +5.801433e-02    +5.519574e-01    +4.536703e-01    -1.372838e-01    +1.460272e-01    +7.465516e-01
+8.000000e+01    +4.074046e-01    +7.301596e-02    +6.993749e-02    +5.538396e-01    +4.226286e-01    -1.079201e-01    +1.344360e-01    +7.896511e-01
+8.100000e+01    +3.800273e-01    +8.917026e-02    +8.891937e-02    +5.869996e-01    +4.174003e-01    -1.481652e-01    +1.441440e-01    +7.560005e-01
+8.200000e+01    +4.365958e-01    +7.030229e-02    +6.756698e-02    +5.011863e-01    +3.702781e-01    -1.284894e-01    +1.436154e-01    +7.683580e-01
+8.300000e+01    +4.056130e-01    +6.883338e-02    +6.371885e-02    +6.820886e-01    +5.401833e-01    -2.016692e-01    +1.987157e-01    +7.810430e-01
+8.400000e+01    +4.744847e-01    +8.175220e-02    +8.085808e-02    +5.116127e-01    +3.530456e-01    -1.149973e-01    +1.489678e-01    +7.417794e-01
+8.500000e+01    +3.581832e-01    +7.724866e-02    +7.701012e-02    +5.655393e-01    +4.301503e-01    -1.435808e-01    +1.259629e-01    +7.606828e-01
+8.600000e+01    +3.786062e-01    +8.576116e-02    +8.833158e-02    +4.717689e-01    +3.006193e-01    -1.276213e-01    +1.455820e-01    +7.435701e-01
+8.700000e+01    +3.371809e-01    +1.096566e-01    +1.074539e-01    +4.970535e-01    +2.967466e-01    -1.624121e-01    +1.616517e-01    +7.163177e-01
+8.800000e+01    +3.357236e-01    +8.530873e-02    +8.443995e-02    +5.066123e-01    +3.318834e-01    -1.407065e-01    +1.387539e-01    +7.571521e-01
+8.900000e+01    +3.512928e-01    +8.772157e-02    +8.640620e-02    +4.724000e-01    +2.830132e-01    -1.301658e-01    +9.358247e-02    +7.165752e-01
+9.000000e+01    +3.377241e-01    +9.878509e-02    +8.993458e-02    +5.105884e-01    +3.202389e-01    -1.140829e-01    +1.202643e-01    +7.367189e-01
+9.100000e+01    +3.792432e-01    +8.551173e-02    +8.901799e-02    +5.581412e-01    +3.628380e-01    -1.833573e-01    +2.037526e-01    +7.181399e-01
+9.200000e+01    +2.968955e-01    +8.921007e-02    +9.383490e-02    +5.105058e-01    +2.866222e-01    -1.390056e-01    +1.477227e-01    +6.981977e-01
+9.300000e+01    +3.166921e-01    +9.498981e-02    +9.389966e-02    +4.469899e-01    +2.282675e-01    -1.349315e-01    +1.257465e-01    +7.057281e-01
+9.400000e+01    +2.741474e-01    +1.311956e-01    +1.332468e-01    +5.721034e-01    +3.065076e-01    -1.453076e-01    +1.438057e-01    +6.743958e-01
+9.500000e+01    +2.674308e-01    +1.086675e-01    +1.073736e-01    +5.064341e-01    +2.501200e-01    -1.421784e-01    +1.495423e-01    +6.756224e-01
+9.600000e+01    +2.622418e-01    +1.740387e-01    +1.635666e-01    +4.764488e-01    +1.590324e-01    -1.483943e-01    +1.447589e-01    +5.891202e-01
+9.700000e+01    +2.531110e-01    +1.394517e-01    +1.405333e-01    +5.663867e-01    +2.412860e-01    -1.356762e-01    +1.506142e-01    +6.067228e-01
+9.800000e+01    +2.234550e-01    +1.293030e-01    +1.325877e-01    +5.309191e-01    +2.599244e-01    -1.904758e-01    +1.574024e-01    +6.172894e-01
+9.900000e+01    +2.514834e-01    +1.312530e-01    +1.424031e-01    +5.729801e-01    +2.580554e-01    -1.206053e-01    +1.144200e-01    +6.148940e-01
+1.000000e+02    +2.351318e-01    +1.544560e-01    +1.525909e-01    +5.312331e-01    +2.355441e-01    -1.912048e-01    +1.829311e-01    +6.146663e-01
+1.010000e+02    +2.512487e-01    +1.134877e-01    +1.133024e-01    +4.895456e-01    +2.127468e-01    -1.562877e-01    +1.479447e-01    +6.437116e-01
+1.020000e+02    +1.809276e-01    +1.545875e-01    +1.684010e-01    +5.445100e-01    +1.878819e-01    -1.671432e-01    +1.736451e-01    +5.674682e-01
+1.030000e+02    +1.867820e-01    +2.077063e-01    +2.062108e-01    +6.414611e-01    +2.262564e-01    -1.164720e-01    +1.022619e-01    +5.152605e-01
+1.040000e+02    +2.417706e-01    +1.380720e-01    +1.404744e-01    +5.585071e-01    +2.259777e-01    -1.692656e-01    +2.026375e-01    +5.713563e-01
+1.050000e+02    +2.176749e-01    +1.475908e-01    +1.470571e-01    +5.833274e-01    +1.564540e-01    -1.363698e-01    +1.449039e-01    +5.019912e-01
+1.060000e+02    +2.206841e-01    +1.789439e-01    +1.787029e-01    +5.196039e-01    +5.616313e-02    -5.988984e-02    +6.636608e-02    +4.512853e-01
+1.070000e+02    +1.926825e-01    +1.459585e-01    +1.410283e-01    +6.051500e-01    +1.759054e-01    -1.980186e-01    +2.471814e-01    +4.788059e-01
+1.080000e+02    +1.916761e-01    +1.567708e-01    +1.576278e-01    +4.050177e-01    -1.813108e-03    -9.023471e-02    +1.277824e-01    +4.940179e-01
+1.090000e+02    +2.161063e-01    +1.531148e-01    +1.520378e-01    +6.222190e-01    +2.254549e-01    -1.492398e-01    +1.434574e-01    +5.022849e-01
+1.100000e+02    +2.062727e-01    +1.390396e-01    +1.425807e-01    +6.180117e-01    +2.162380e-01    -1.853933e-01    +1.897565e-01    +5.257254e-01
+1.110000e+02    +2.177086e-01    +1.449811e-01    +1.474101e-01    +6.801629e-01    +2.469101e-01    -1.228624e-01    +1.326070e-01    +4.849197e-01
+1.120000e+02    +2.366951e-01    +1.214581e-01    +1.087864e-01    +6.415117e-01    +2.244098e-01    -1.343099e-01    +1.371810e-01    +5.013938e-01
+1.130000e+02    +1.962854e-01    +1.523437e-01    +1.448958e-01    +5.550590e-01    +1.452782e-01    +5.378472e-02    +5.499553e-03    +4.919547e-01
+1.140000e+02    +2.052285e-01    +1.577510e-01    +1.512208e-01    +6.409682e-01    +1.146509e-01    -6.630103e-02    +8.221244e-02    +3.888879e-01
+1.150000e+02    +1.825118e-01    +1.724159e-01    +1.671353e-01    +5.467868e-01    +3.963760e-02    -3.802092e-02    +7.297111e-02    +3.856008e-01
+1.160000e+02    +2.088137e-01    +1.434623e-01    +1.236015e-01    +6.829002e-01    +2.165122e-01    -1.000660e-01    +1.290695e-01    +4.473461e-01
+1.170000e+02    +1.976013e-01    +1.679562e-01    +1.809288e-01    +6.331852e-01    +1.422922e-01    -6.922871e-02    +5.583882e-02    +4.213861e-01
+1.180000e+02    +1.800166e-01    +1.417196e-01    +1.541463e-01    +5.554961e-01    +8.881931e-03    -2.509267e-02    +5.333718e-02    +3.695708e-01
+1.190000e+02    +2.105391e-01    +8.972094e-02    +9.213330e-02    +6.406071e-01    +2.060003e-01    -1.152360e-01    +8.050486e-02    +4.853769e-01
+1.200000e+02    +2.118327e-01    +1.150009e-01    +1.155686e-01    +6.498641e-01    +1.410110e-01    -2.133317e-03    +2.251569e-02    +4.361001e-01
+1.210000e+02    +2.096586e-01    +1.096219e-01    +1.140687e-01    +5.795436e-01    +1.128293e-01    -4.266877e-02    +5.421491e-02    +4.767771e-01
+1.220000e+02    +1.973944e-01    +1.086139e-01    +1.008273e-01    +5.072596e-01    +9.622518e-02    -7.637567e-02    +2.991572e-02    +4.723797e-01
+1.230000e+02    +2.113003e-01    +1.238007e-01    +1.332182e-01    +5.199861e-01    +5.991283e-02    +3.132621e-02    -3.604882e-02    +4.598492e-01
+1.240000e+02    +2.030613e-01    +1.371705e-01    +1.450836e-01    +4.962079e-01    +5.336887e-03    +1.332951e-01    -1.632633e-01    +4.068541e-01
+1.250000e+02    +1.671503e-01    +1.844905e-01    +1.736362e-01    +6.171079e-01    +4.838654e-02    +1.519957e-01    -1.490879e-01    +3.274214e-01
+1.260000e+02    +1.549772e-01    +2.085360e-01    +1.971014e-01    +5.274619e-01    -1.114451e-01    +1.112832e-01    -1.215095e-01    +2.619749e-01
+1.270000e+02    +1.920235e-01    +1.499578e-01    +1.465661e-01    +4.775495e-01    -8.931957e-02    +1.560624e-01    -1.657272e-01    +2.902384e-01
+1.280000e+02    +1.781698e-01    +1.442172e-01    +1.593599e-01    +4.349459e-01    -6.925407e-02    +1.402152e-01    -8.052517e-02    +3.513880e-01
+1.290000e+02    +2.071890e-01    +1.749187e-01    +1.630881e-01    +4.822840e-01    -1.464014e-01    +1.706130e-01    -1.666436e-01    +2.660135e-01
+1.300000e+02    +1.770202e-01    +1.445522e-01    +1.610842e-01    +3.822940e-01    -1.610634e-01    +1.250834e-01    -1.436938e-01    +2.981407e-01
+1.310000e+02    +1.845531e-01    +1.683504e-01    +1.665210e-01    +4.237348e-01    -1.935170e-01    +1.417493e-01    -1.190052e-01    +2.386572e-01
+1.320000e+02    +2.072047e-01    +1.354205e-01    +1.676409e-01    +4.115702e-01    -1.739425e-01    +1.487301e-01    -1.525698e-01    +2.824852e-01
+1.330000e+02    +1.777316e-01    +1.507964e-01    +1.522958e-01    +4.535691e-01    -1.740207e-01    +2.161209e-01    -2.201371e-01    +2.548195e-01
+1.340000e+02    +1.704040e-01    +1.818185e-01    +1.664970e-01    +4.706408e-01    -1.753768e-01    +1.150652e-01    -1.530549e-01    +2.169716e-01
+1.350000e+02    +1.856212e-01    +1.715623e-01    +1.715272e-01    +4.273383e-01    -1.240992e-01    +2.036873e-01    -1.126710e-01    +2.643274e-01
+1.360000e+02    +2.103335e-01    +1.313709e-01    +1.358090e-01    +3.606669e-01    -2.076751e-01    +1.506831e-01    -1.975273e-01    +2.986397e-01
+1.370000e+02    +2.023257e-01    +1.429708e-01    +1.570144e-01    +3.180749e-01    -2.057108e-01    +5.408781e-02    -1.015743e-01    +2.530061e-01
+1.380000e+02    +2.418519e-01    +1.436863e-01    +1.385185e-01    +3.538277e-01    -1.693958e-01    +4.715101e-02    -7.788836e-02    +2.998916e-01
+1.390000e+02    +2.051359e-01    +1.201712e-01    +1.083737e-01    +1.539870e-01    -3.116790e-01    +8.101560e-02    -5.691630e-02    +3.300797e-01
+1.400000e+02    +2.525678e-01    +1.391531e-01    +1.363451e-01    +3.102313e-01    -2.159224e-01    -5.234473e-03    -7.646691e-02    +3.085075e-01
+1.410000e+02    +2.247046e-01    +1.686304e-01    +1.486149e-01    +2.637366e-01    -2.518180e-01    +3.044374e-02    -5.413048e-02    +2.985272e-01
+1.420000e+02    +3.671019e-01    +1.237602e-01    +1.194963e-01    +2.062942e-01    -2.247175e-01    +8.664255e-02    -4.096810e-02    +3.987004e-01
+1.430000e+02    +2.987361e-01    +1.381580e-01    +1.345149e-01    +1.999207e-01    -2.782986e-01    +1.341944e-01    -3.286972e-02    +3.485343e-01
+1.440000e+02    +3.924814e-01    +1.376405e-01    +1.253994e-01    +5.504863e-02    -3.646622e-01    +1.037306e-01    -4.353769e-02    +4.044592e-01
+1.450000e+02    +2.912691e-01    +1.579252e-01    +1.714727e-01    +1.126158e-01    -4.044949e-01    +4.225194e-02    +4.307690e-02    +3.821115e-01
+1.460000e+02    +3.310947e-01    +1.371659e-01    +1.427592e-01    +1.258298e-01    -3.220762e-01    -8.589336e-02    +2.586796e-02    +3.968992e-01
+1.470000e+02    +3.380494e-01    +1.556979e-01    +1.534526e-01    +1.854924e-01    -2.605291e-01    -3.874606e-02    +6.798540e-02    +3.965603e-01
+1.480000e+02    +4.301288e-01    +8.873679e-02    +9.028583e-02    +1.033051e-01    -2.902376e-01    -4.045124e-02    +5.468076e-02    +4.709093e-01
+1.490000e+02    +5.412305e-01    +1.045846e-01    +9.900151e-02    +2.652419e-01    -1.681093e-01    -1.478204e-01    +1.308768e-01    +4.433552e-01
+1.500000e+02    +4.547380e-01    +8.374057e-02    +8.005957e-02    +1.648320e-01    -2.083668e-01    -1.999484e-01    +1.424104e-01    +4.896880e-01
+1.510000e+02    +5.257671e-01    +6.875499e-02    +6.580726e-02    +2.314959e-01    -1.958667e-01    -1.986978e-01    +2.423360e-01    +4.435570e-01
+1.520000e+02    +4.114764e-01    +1.018012e-01    +8.832920e-02    +2.440137e-01    -1.837101e-01    -1.051927e-01    +7.299463e-02    +4.106853e-01
+1.530000e+02    +4.142454e-01    +6.942904e-02    +7.514794e-02    +2.294982e-01    -2.135669e-01    -1.345456e-01    +2.226268e-01    +3.873363e-01
+1.540000e+02    +4.323063e-01    +5.850264e-02    +5.525630e-02    +1.938437e-01    -2.163082e-01    -1.355604e-01    +1.487736e-01    +4.098251e-01
+1.550000e+02    +4.167548e-01    +4.552841e-02    +5.035347e-02    +2.536824e-01    -2.061996e-01    -1.928998e-01    +1.721786e-01    +3.732251e-01
+1.560000e+02    +4.035083e-01    +5.267066e-02    +5.931440e-02    +2.687542e-01    -2.018860e-01    -5.258338e-02    +6.017723e-02    +3.445397e-01
+1.570000e+02    +4.620884e-01    +3.529934e-02    +2.998732e-02    +2.416563e-01    -2.487366e-01    -1.884631e-01    +2.761835e-01    +3.532257e-01
+1.580000e+02    +3.646789e-01    +2.935900e-02    +2.803428e-02    +7.830484e-02    -3.789406e-01    -8.618044e-02    +1.117659e-01    +3.369713e-01
+1.590000e+02    +4.501228e-01    +2.137103e-02    +1.150977e-02    +2.312926e-01    -2.340336e-01    -1.314798e-01    +1.617637e-01    +3.755057e-01
+1.600000e+02    +3.880022e-01    +2.652755e-02    +3.485626e-02    +1.111850e-01    -3.174891e-01    -5.365847e-02    +4.226213e-02    +3.568633e-01
+1.610000e+02    +3.208057e-01    -2.124667e-03    +1.037683e-02    +2.011079e-01    -2.653941e-01    +4.553243e-02    +7.711302e-02    +3.175912e-01
