*************************************************************************             
 Light Scattering by Non-Spherical Particles + Polarization.                              
 Computation of Mueller matrix for convex polyhedron. 	         
 (Convex Hull Construction + Merge If Triangular Faces On Same Plane.)             
 Geometric optics + Monte Carlo, Diffraction is not considered.       		     
 2025.06 		     
 Mu Quan,  Email: mu.quan@foxmail.com 		     
*************************************************************************
The data read from the file is as follows:
refractiveIndex: 1.332000e+00+ i 0.000000e+00
positionNumber: 10000
batchSize: 10
batchNumber: 1
binNumber: 180
reflInsideControl: 10
totReflControl: 100
========================================================================== 
Hits counter: 33712; Total incoming NumPhoton:100000 (about 3.371200e+01%).
sum_Mlr_M11: 3.370689e+04; Missing:5.106788e+00 (about 1.514828e-02%).
Total run time: 2.956700e+01 seconds.
========================================================================== 
Scattering Angle      F11              F12              F21              F22              F33              F34              F43              F44
+1.600000e+01    +8.114227e-01    -1.237490e-01    -1.240187e-01    +7.033738e-01    +6.798093e-01    -2.302262e-03    +2.610860e-03    +7.861915e-01
+1.700000e+01    +6.522180e-01    -1.214627e-01    -1.213120e-01    +6.064397e-01    +5.829843e-01    +3.187160e-03    -3.182861e-03    +6.273953e-01
+1.800000e+01    +7.200441e-01    -1.411866e-01    -1.415156e-01    +6.704361e-01    +6.429021e-01    -6.832969e-03    +6.911001e-03    +6.906174e-01
+1.900000e+01    +5.993438e-01    -1.199092e-01    -1.197591e-01    +5.662696e-01    +5.432818e-01    -5.106656e-03    +5.116610e-03    +5.752820e-01
+2.000000e+01    +5.562299e-01    -1.157246e-01    -1.159659e-01    +5.278131e-01    +5.049564e-01    -1.847246e-02    +1.836837e-02    +5.321413e-01
+2.100000e+01    +6.862837e-01    -1.195080e-01    -1.201601e-01    +6.438390e-01    +6.152422e-01    -4.715173e-02    +4.656396e-02    +6.551827e-01
+2.200000e+01    +5.201520e-01    -1.087749e-01    -1.093423e-01    +4.998758e-01    +4.729155e-01    -1.893224e-02    +1.918990e-02    +4.890245e-01
+2.300000e+01    +5.193178e-01    -1.161474e-01    -1.154317e-01    +4.931828e-01    +4.658544e-01    -2.616531e-02    +2.574579e-02    +4.893468e-01
+2.400000e+01    +1.607030e+01    +5.573934e-01    +5.576278e-01    +1.602952e+01    +1.598444e+01    -4.398635e-02    +4.383118e-02    +1.602229e+01
+2.500000e+01    +1.215932e+01    +4.409845e-01    +4.409812e-01    +1.209019e+01    +1.205198e+01    -5.883233e-02    +5.893221e-02    +1.211778e+01
+2.600000e+01    +9.554408e+00    +3.346472e-01    +3.345394e-01    +9.516929e+00    +9.475336e+00    -2.403037e-02    +2.918405e-02    +9.506686e+00
+2.700000e+01    +8.348314e+00    +2.987089e-01    +2.984236e-01    +8.283200e+00    +8.238426e+00    -4.067846e-02    +4.068697e-02    +8.299900e+00
+2.800000e+01    +6.576955e+00    +2.308226e-01    +2.308109e-01    +6.545699e+00    +6.503066e+00    -3.460374e-02    +3.510651e-02    +6.529639e+00
+2.900000e+01    +5.271065e+00    +1.954270e-01    +1.956295e-01    +5.234318e+00    +5.192863e+00    -3.829779e-02    +3.884483e-02    +5.223680e+00
+3.000000e+01    +4.009945e+00    +1.237680e-01    +1.241250e-01    +3.964179e+00    +3.919219e+00    -4.233193e-02    +4.756298e-02    +3.957195e+00
+3.100000e+01    +3.687856e+00    +1.142415e-01    +1.142789e-01    +3.627875e+00    +3.565952e+00    -2.288929e-02    +1.313643e-02    +3.612116e+00
+3.200000e+01    +2.878878e+00    +7.970454e-02    +7.887304e-02    +2.821626e+00    +2.749577e+00    -3.885455e-02    +4.090700e-02    +2.800049e+00
+3.300000e+01    +2.441634e+00    +8.641708e-02    +8.691709e-02    +2.389562e+00    +2.311585e+00    -5.890884e-02    +4.955399e-02    +2.348146e+00
+3.400000e+01    +2.104430e+00    +3.705811e-02    +3.651514e-02    +2.017325e+00    +1.920773e+00    -1.380204e-02    +1.438685e-02    +1.999802e+00
+3.500000e+01    +1.715202e+00    +3.551494e-03    +3.535636e-03    +1.643999e+00    +1.517786e+00    -3.332544e-02    +3.360391e-02    +1.578434e+00
+3.600000e+01    +1.421326e+00    -1.790963e-03    -1.494767e-03    +1.360916e+00    +1.224700e+00    -2.801594e-02    +2.552110e-02    +1.274872e+00
+3.700000e+01    +1.278357e+00    -3.227391e-02    -3.186600e-02    +1.208447e+00    +1.099141e+00    -5.449456e-02    +4.750358e-02    +1.157880e+00
+3.800000e+01    +1.228152e+00    -2.785374e-02    -2.764388e-02    +1.145675e+00    +1.020263e+00    -5.396145e-02    +5.500224e-02    +1.090809e+00
+3.900000e+01    +9.687578e-01    -4.361967e-02    -4.361546e-02    +8.710595e-01    +7.217406e-01    -6.535614e-02    +6.437601e-02    +8.073244e-01
+4.000000e+01    +8.696191e-01    -6.287363e-02    -6.123237e-02    +7.191333e-01    +4.828951e-01    -5.794631e-02    +5.505877e-02    +6.135184e-01
+4.100000e+01    +7.321035e-01    -6.429627e-02    -6.370950e-02    +6.354985e-01    +5.156455e-01    -6.823480e-02    +6.442180e-02    +5.933310e-01
+4.200000e+01    +7.589208e-01    -7.573619e-02    -7.524631e-02    +6.729716e-01    +4.344229e-01    -6.484563e-02    +6.318261e-02    +5.082344e-01
+4.300000e+01    +6.409008e-01    -6.866936e-02    -6.859144e-02    +5.592162e-01    +4.141312e-01    -9.683096e-02    +9.822294e-02    +4.856709e-01
+4.400000e+01    +5.665964e-01    -8.582080e-02    -8.554979e-02    +4.549159e-01    +3.271741e-01    -7.103835e-02    +4.956868e-02    +3.993280e-01
+4.500000e+01    +6.441405e-01    -7.314601e-02    -7.216581e-02    +5.456310e-01    +4.176841e-01    -1.031991e-01    +1.001872e-01    +5.011403e-01
+4.600000e+01    +4.850154e-01    -8.417409e-02    -8.370322e-02    +4.197581e-01    +3.615866e-01    -8.487677e-02    +7.981312e-02    +4.130927e-01
+4.700000e+01    +5.182914e-01    -7.211138e-02    -7.212054e-02    +4.634483e-01    +3.936392e-01    -1.002948e-01    +9.837851e-02    +4.309698e-01
+4.800000e+01    +4.893202e-01    -6.321278e-02    -6.435795e-02    +4.151423e-01    +3.681936e-01    -7.010822e-02    +6.839647e-02    +4.232358e-01
+4.900000e+01    +5.476860e-01    -7.001616e-02    -6.983502e-02    +4.482472e-01    +3.882813e-01    -7.459323e-02    +8.441386e-02    +4.615774e-01
+5.000000e+01    +4.765999e-01    -7.375249e-02    -7.428757e-02    +3.574854e-01    +2.979001e-01    -6.725583e-02    +7.690929e-02    +3.640103e-01
+5.100000e+01    +9.469892e-01    +2.362403e-02    +2.273851e-02    +8.680507e-01    +8.034904e-01    -6.310681e-02    +6.291497e-02    +8.561962e-01
+5.200000e+01    +1.007570e+00    +1.487731e-02    +1.450260e-02    +9.061044e-01    +8.366604e-01    -9.837264e-02    +9.303978e-02    +9.004696e-01
+5.300000e+01    +9.343436e-01    +2.537333e-02    +2.495636e-02    +7.968366e-01    +7.276176e-01    -9.349501e-02    +8.686853e-02    +8.278248e-01
+5.400000e+01    +8.544365e-01    +2.362903e-03    +1.442862e-03    +7.475878e-01    +6.741462e-01    -8.858221e-02    +8.263658e-02    +7.553117e-01
+5.500000e+01    +7.180825e-01    +7.735299e-03    +8.425605e-03    +6.282117e-01    +5.618692e-01    -9.990380e-02    +7.928044e-02    +6.086941e-01
+5.600000e+01    +6.044118e-01    -7.933247e-03    -7.854073e-03    +5.243118e-01    +4.710150e-01    -6.172883e-02    +7.368953e-02    +5.260044e-01
+5.700000e+01    +5.834209e-01    -2.623227e-02    -2.660345e-02    +5.143797e-01    +4.449701e-01    -1.034665e-01    +9.015101e-02    +4.873172e-01
+5.800000e+01    +6.116055e-01    -2.343903e-02    -2.164584e-02    +4.967931e-01    +4.388602e-01    -8.473959e-02    +7.135650e-02    +5.173983e-01
+5.900000e+01    +5.875971e-01    -4.255453e-02    -4.271727e-02    +4.664696e-01    +4.004910e-01    -7.082572e-02    +6.639907e-02    +4.808186e-01
+6.000000e+01    +6.580498e-01    -3.708743e-02    -3.950802e-02    +5.173768e-01    +4.483281e-01    -1.165145e-01    +1.233101e-01    +5.352760e-01
+6.100000e+01    +5.697136e-01    -4.016006e-02    -4.062385e-02    +4.118432e-01    +3.446345e-01    -7.862273e-02    +8.350259e-02    +4.623223e-01
+6.200000e+01    +4.962691e-01    -5.010672e-02    -4.950479e-02    +3.666591e-01    +2.999659e-01    -9.757598e-02    +9.317706e-02    +3.960578e-01
+6.300000e+01    +4.482697e-01    -5.130024e-02    -5.059556e-02    +3.159751e-01    +2.556881e-01    -7.657354e-02    +7.350022e-02    +3.429838e-01
+6.400000e+01    +5.221564e-01    -4.004289e-02    -3.864405e-02    +3.785922e-01    +3.056594e-01    -8.268565e-02    +7.773174e-02    +4.235714e-01
+6.500000e+01    +4.360164e-01    -3.937700e-02    -3.858786e-02    +3.166602e-01    +2.560766e-01    -7.715413e-02    +6.277321e-02    +3.408553e-01
+6.600000e+01    +3.896458e-01    -3.832524e-02    -3.935288e-02    +2.523793e-01    +1.975213e-01    -5.659092e-02    +6.271423e-02    +3.141949e-01
+6.700000e+01    +5.561929e-01    -3.825178e-02    -3.865490e-02    +4.056743e-01    +3.363273e-01    -1.030040e-01    +9.442416e-02    +4.644064e-01
+6.800000e+01    +5.204279e-01    -4.099355e-02    -4.144688e-02    +3.466592e-01    +2.779264e-01    -7.294205e-02    +6.463076e-02    +4.185200e-01
+6.900000e+01    +4.889154e-01    -3.674396e-02    -3.835966e-02    +3.391755e-01    +2.717375e-01    -7.070130e-02    +7.406526e-02    +3.865554e-01
+7.000000e+01    +4.996936e-01    -3.342088e-02    -3.335295e-02    +3.385763e-01    +2.772018e-01    -7.828874e-02    +8.077355e-02    +4.021680e-01
+7.100000e+01    +5.397186e-01    -4.433288e-02    -4.458315e-02    +3.329723e-01    +2.193251e-01    -4.317601e-02    +3.742743e-02    +3.938928e-01
+7.200000e+01    +5.607390e-01    -2.902911e-02    -2.925963e-02    +3.831749e-01    +2.773341e-01    -7.939543e-02    +7.983868e-02    +4.219721e-01
+7.300000e+01    +5.368374e-01    -3.846832e-02    -3.729446e-02    +3.440613e-01    +2.243470e-01    -6.210831e-02    +5.973652e-02    +3.760807e-01
+7.400000e+01    +5.004392e-01    -3.575956e-02    -3.575970e-02    +3.013988e-01    +1.854530e-01    -4.481297e-02    +4.631527e-02    +3.452811e-01
+7.500000e+01    +4.317293e-01    -3.369918e-02    -3.204115e-02    +2.735529e-01    +1.972490e-01    -5.344874e-02    +5.137914e-02    +3.212761e-01
+7.600000e+01    +5.128802e-01    -2.691427e-02    -2.558820e-02    +2.906403e-01    +2.229479e-01    -6.282991e-02    +5.378159e-02    +3.897867e-01
+7.700000e+01    +4.666571e-01    -3.532401e-02    -3.371320e-02    +2.697195e-01    +2.028091e-01    -5.993825e-02    +5.157939e-02    +3.666810e-01
+7.800000e+01    +4.591275e-01    -2.705064e-02    -2.690509e-02    +2.435542e-01    +1.894491e-01    -6.401893e-02    +6.577836e-02    +3.555692e-01
+7.900000e+01    +4.759949e-01    -2.849104e-02    -2.761453e-02    +2.627289e-01    +2.159448e-01    -6.534641e-02    +6.950820e-02    +3.553548e-01
+8.000000e+01    +4.074046e-01    -2.974704e-02    -2.849286e-02    +2.256368e-01    +1.721808e-01    -4.396714e-02    +5.476982e-02    +3.217075e-01
+8.100000e+01    +3.800273e-01    -3.388713e-02    -3.379179e-02    +2.230759e-01    +1.586235e-01    -5.630681e-02    +5.477866e-02    +2.873008e-01
+8.200000e+01    +4.365958e-01    -3.069368e-02    -2.949946e-02    +2.188158e-01    +1.616619e-01    -5.609791e-02    +6.270188e-02    +3.354619e-01
+8.300000e+01    +4.056130e-01    -2.791971e-02    -2.584519e-02    +2.766640e-01    +2.191053e-01    -8.179964e-02    +8.060168e-02    +3.168012e-01
+8.400000e+01    +4.744847e-01    -3.879017e-02    -3.836593e-02    +2.427524e-01    +1.675147e-01    -5.456446e-02    +7.068293e-02    +3.519630e-01
+8.500000e+01    +3.581832e-01    -2.766917e-02    -2.758373e-02    +2.025667e-01    +1.540726e-01    -5.142823e-02    +4.511779e-02    +2.724638e-01
+8.600000e+01    +3.786062e-01    -3.246971e-02    -3.344288e-02    +1.786146e-01    +1.138163e-01    -4.831820e-02    +5.511826e-02    +2.815202e-01
+8.700000e+01    +3.371809e-01    -3.697410e-02    -3.623140e-02    +1.675969e-01    +1.000573e-01    -5.476226e-02    +5.450587e-02    +2.415286e-01
+8.800000e+01    +3.357236e-01    -2.864015e-02    -2.834848e-02    +1.700817e-01    +1.114211e-01    -4.723849e-02    +4.658295e-02    +2.541938e-01
+8.900000e+01    +3.512928e-01    -3.081596e-02    -3.035388e-02    +1.659507e-01    +9.942050e-02    -4.572632e-02    +3.287485e-02    +2.517277e-01
+9.000000e+01    +3.377241e-01    -3.336211e-02    -3.037308e-02    +1.724380e-01    +1.081524e-01    -3.852857e-02    +4.061615e-02    +2.488077e-01
+9.100000e+01    +3.792432e-01    -3.242974e-02    -3.375947e-02    +2.116712e-01    +1.376038e-01    -6.953699e-02    +7.727179e-02    +2.723496e-01
+9.200000e+01    +2.968955e-01    -2.648607e-02    -2.785916e-02    +1.515669e-01    +8.509686e-02    -4.127014e-02    +4.385820e-02    +2.072918e-01
+9.300000e+01    +3.166921e-01    -3.008252e-02    -2.973728e-02    +1.415581e-01    +7.229051e-02    -4.273172e-02    +3.982292e-02    +2.234985e-01
+9.400000e+01    +2.741474e-01    -3.596694e-02    -3.652927e-02    +1.568406e-01    +8.402825e-02    -3.983570e-02    +3.942395e-02    +1.848838e-01
+9.500000e+01    +2.674308e-01    -2.906104e-02    -2.871502e-02    +1.354361e-01    +6.688981e-02    -3.802290e-02    +3.999223e-02    +1.806823e-01
+9.600000e+01    +2.622418e-01    -4.564021e-02    -4.289399e-02    +1.249448e-01    +4.170493e-02    -3.891517e-02    +3.796183e-02    +1.544919e-01
+9.700000e+01    +2.531110e-01    -3.529676e-02    -3.557052e-02    +1.433587e-01    +6.107213e-02    -3.434113e-02    +3.812211e-02    +1.535682e-01
+9.800000e+01    +2.234550e-01    -2.889339e-02    -2.962737e-02    +1.186365e-01    +5.808140e-02    -4.256277e-02    +3.517234e-02    +1.379364e-01
+9.900000e+01    +2.514834e-01    -3.300796e-02    -3.581203e-02    +1.440950e-01    +6.489665e-02    -3.033024e-02    +2.877473e-02    +1.546356e-01
+1.000000e+02    +2.351318e-01    -3.631753e-02    -3.587897e-02    +1.249098e-01    +5.538393e-02    -4.495833e-02    +4.301292e-02    +1.445276e-01
+1.010000e+02    +2.512487e-01    -2.851364e-02    -2.846709e-02    +1.229977e-01    +5.345235e-02    -3.926709e-02    +3.717091e-02    +1.617317e-01
+1.020000e+02    +1.809276e-01    -2.796913e-02    -3.046838e-02    +9.851685e-02    +3.399300e-02    -3.024080e-02    +3.141718e-02    +1.026706e-01
+1.030000e+02    +1.867820e-01    -3.879580e-02    -3.851647e-02    +1.198134e-01    +4.226062e-02    -2.175488e-02    +1.910068e-02    +9.624138e-02
+1.040000e+02    +2.417706e-01    -3.338174e-02    -3.396258e-02    +1.350306e-01    +5.463475e-02    -4.092344e-02    +4.899179e-02    +1.381371e-01
+1.050000e+02    +2.176749e-01    -3.212681e-02    -3.201063e-02    +1.269757e-01    +3.405609e-02    -2.968427e-02    +3.154194e-02    +1.092709e-01
+1.060000e+02    +2.206841e-01    -3.949007e-02    -3.943689e-02    +1.146683e-01    +1.239431e-02    -1.321674e-02    +1.464594e-02    +9.959151e-02
+1.070000e+02    +1.926825e-01    -2.812365e-02    -2.717369e-02    +1.166018e-01    +3.389391e-02    -3.815473e-02    +4.762754e-02    +9.225753e-02
+1.080000e+02    +1.916761e-01    -3.004922e-02    -3.021348e-02    +7.763222e-02    -3.475295e-04    -1.729584e-02    +2.449284e-02    +9.469144e-02
+1.090000e+02    +2.161063e-01    -3.308906e-02    -3.285631e-02    +1.344654e-01    +4.872221e-02    -3.225166e-02    +3.100204e-02    +1.085469e-01
+1.100000e+02    +2.062727e-01    -2.868007e-02    -2.941051e-02    +1.274789e-01    +4.460400e-02    -3.824157e-02    +3.914158e-02    +1.084428e-01
+1.110000e+02    +2.177086e-01    -3.156363e-02    -3.209244e-02    +1.480773e-01    +5.375445e-02    -2.674819e-02    +2.886969e-02    +1.055712e-01
+1.120000e+02    +2.366951e-01    -2.874853e-02    -2.574921e-02    +1.518427e-01    +5.311669e-02    -3.179050e-02    +3.247008e-02    +1.186775e-01
+1.130000e+02    +1.962854e-01    -2.990284e-02    -2.844093e-02    +1.089500e-01    +2.851599e-02    +1.055715e-02    +1.079482e-03    +9.656351e-02
+1.140000e+02    +2.052285e-01    -3.237499e-02    -3.103481e-02    +1.315449e-01    +2.352963e-02    -1.360686e-02    +1.687233e-02    +7.981086e-02
+1.150000e+02    +1.825118e-01    -3.146793e-02    -3.050416e-02    +9.979504e-02    +7.234329e-03    -6.939265e-03    +1.331809e-02    +7.037669e-02
+1.160000e+02    +2.088137e-01    -2.995689e-02    -2.580969e-02    +1.425989e-01    +4.521072e-02    -2.089515e-02    +2.695147e-02    +9.341199e-02
+1.170000e+02    +1.976013e-01    -3.318836e-02    -3.575177e-02    +1.251183e-01    +2.811713e-02    -1.367969e-02    +1.103382e-02    +8.326646e-02
+1.180000e+02    +1.800166e-01    -2.551189e-02    -2.774890e-02    +9.999854e-02    +1.598895e-03    -4.517097e-03    +9.601580e-03    +6.652889e-02
+1.190000e+02    +2.105391e-01    -1.888977e-02    -1.939766e-02    +1.348728e-01    +4.337111e-02    -2.426167e-02    +1.694942e-02    +1.021908e-01
+1.200000e+02    +2.118327e-01    -2.436094e-02    -2.448122e-02    +1.376625e-01    +2.987073e-02    -4.519064e-04    +4.769560e-03    +9.238025e-02
+1.210000e+02    +2.096586e-01    -2.298318e-02    -2.391549e-02    +1.215063e-01    +2.365564e-02    -8.945876e-03    +1.136662e-02    +9.996043e-02
+1.220000e+02    +1.973944e-01    -2.143979e-02    -1.990274e-02    +1.001302e-01    +1.899431e-02    -1.507613e-02    +5.905196e-03    +9.324512e-02
+1.230000e+02    +2.113003e-01    -2.615912e-02    -2.814905e-02    +1.098732e-01    +1.265960e-02    +6.619238e-03    -7.617127e-03    +9.716630e-02
+1.240000e+02    +2.030613e-01    -2.785402e-02    -2.946087e-02    +1.007606e-01    +1.083715e-03    +2.706709e-02    -3.315247e-02    +8.261634e-02
+1.250000e+02    +1.671503e-01    -3.083764e-02    -2.902335e-02    +1.031498e-01    +8.087823e-03    +2.540612e-02    -2.492009e-02    +5.472858e-02
+1.260000e+02    +1.549772e-01    -3.231834e-02    -3.054623e-02    +8.174458e-02    -1.727145e-02    +1.724636e-02    -1.883120e-02    +4.060015e-02
+1.270000e+02    +1.920235e-01    -2.879542e-02    -2.814413e-02    +9.170071e-02    -1.715145e-02    +2.996763e-02    -3.182351e-02    +5.573258e-02
+1.280000e+02    +1.781698e-01    -2.569515e-02    -2.839312e-02    +7.749420e-02    -1.233898e-02    +2.498211e-02    -1.434715e-02    +6.260672e-02
+1.290000e+02    +2.071890e-01    -3.624123e-02    -3.379005e-02    +9.992393e-02    -3.033274e-02    +3.534913e-02    -3.452672e-02    +5.511506e-02
+1.300000e+02    +1.770202e-01    -2.558867e-02    -2.851517e-02    +6.767377e-02    -2.851149e-02    +2.214230e-02    -2.543670e-02    +5.277694e-02
+1.310000e+02    +1.845531e-01    -3.106959e-02    -3.073197e-02    +7.820158e-02    -3.571417e-02    +2.616027e-02    -2.196278e-02    +4.404493e-02
+1.320000e+02    +2.072047e-01    -2.805975e-02    -3.473598e-02    +8.527927e-02    -3.604169e-02    +3.081758e-02    -3.161317e-02    +5.853225e-02
+1.330000e+02    +1.777316e-01    -2.680128e-02    -2.706777e-02    +8.061354e-02    -3.092897e-02    +3.841150e-02    -3.912531e-02    +4.528946e-02
+1.340000e+02    +1.704040e-01    -3.098261e-02    -2.837175e-02    +8.019908e-02    -2.988491e-02    +1.960757e-02    -2.608117e-02    +3.697283e-02
+1.350000e+02    +1.856212e-01    -3.184561e-02    -3.183908e-02    +7.932306e-02    -2.303544e-02    +3.780869e-02    -2.091413e-02    +4.906477e-02
+1.360000e+02    +2.103335e-01    -2.763170e-02    -2.856519e-02    +7.586032e-02    -4.368102e-02    +3.169370e-02    -4.154661e-02    +6.281392e-02
+1.370000e+02    +2.023257e-01    -2.892666e-02    -3.176804e-02    +6.435473e-02    -4.162057e-02    +1.094335e-02    -2.055109e-02    +5.118964e-02
+1.380000e+02    +2.418519e-01    -3.475080e-02    -3.350097e-02    +8.557392e-02    -4.096871e-02    +1.140356e-02    -1.883745e-02    +7.252936e-02
+1.390000e+02    +2.051359e-01    -2.465143e-02    -2.223133e-02    +3.158826e-02    -6.393656e-02    +1.661921e-02    -1.167558e-02    +6.771120e-02
+1.400000e+02    +2.525678e-01    -3.514559e-02    -3.443637e-02    +7.835442e-02    -5.453503e-02    -1.322059e-03    -1.931308e-02    +7.791906e-02
+1.410000e+02    +2.247046e-01    -3.789202e-02    -3.339445e-02    +5.926283e-02    -5.658467e-02    +6.840848e-03    -1.216337e-02    +6.708044e-02
+1.420000e+02    +3.671019e-01    -4.543262e-02    -4.386731e-02    +7.573100e-02    -8.249423e-02    +3.180664e-02    -1.503947e-02    +1.463637e-01
+1.430000e+02    +2.987361e-01    -4.127278e-02    -4.018447e-02    +5.972355e-02    -8.313783e-02    +4.008870e-02    -9.819371e-03    +1.041198e-01
+1.440000e+02    +3.924814e-01    -5.402134e-02    -4.921692e-02    +2.160556e-02    -1.431231e-01    +4.071232e-02    -1.708773e-02    +1.587427e-01
+1.450000e+02    +2.912691e-01    -4.599873e-02    -4.994469e-02    +3.280150e-02    -1.178169e-01    +1.230668e-02    +1.254697e-02    +1.112973e-01
+1.460000e+02    +3.310947e-01    -4.541491e-02    -4.726683e-02    +4.166159e-02    -1.066377e-01    -2.843884e-02    +8.564743e-03    +1.314112e-01
+1.470000e+02    +3.380494e-01    -5.263357e-02    -5.187454e-02    +6.270559e-02    -8.807171e-02    -1.309808e-02    +2.298242e-02    +1.340570e-01
+1.480000e+02    +4.301288e-01    -3.816825e-02    -3.883453e-02    +4.443449e-02    -1.248395e-01    -1.739924e-02    +2.351977e-02    +2.025517e-01
+1.490000e+02    +5.412305e-01    -5.660436e-02    -5.358263e-02    +1.435570e-01    -9.098588e-02    -8.000489e-02    +7.083450e-02    +2.399574e-01
+1.500000e+02    +4.547380e-01    -3.808002e-02    -3.640612e-02    +7.495538e-02    -9.475227e-02    -9.092414e-02    +6.475942e-02    +2.226797e-01
+1.510000e+02    +5.257671e-01    -3.614911e-02    -3.459929e-02    +1.217129e-01    -1.029802e-01    -1.044687e-01    +1.274123e-01    +2.332077e-01
+1.520000e+02    +4.114764e-01    -4.188881e-02    -3.634538e-02    +1.004059e-01    -7.559235e-02    -4.328432e-02    +3.003557e-02    +1.689873e-01
+1.530000e+02    +4.142454e-01    -2.876066e-02    -3.112969e-02    +9.506857e-02    -8.846910e-02    -5.573491e-02    +9.222211e-02    +1.604523e-01
+1.540000e+02    +4.323063e-01    -2.529106e-02    -2.388765e-02    +8.379985e-02    -9.351137e-02    -5.860362e-02    +6.431577e-02    +1.771700e-01
+1.550000e+02    +4.167548e-01    -1.897419e-02    -2.098505e-02    +1.057234e-01    -8.593468e-02    -8.039194e-02    +7.175627e-02    +1.555434e-01
+1.560000e+02    +4.035083e-01    -2.125305e-02    -2.393385e-02    +1.084446e-01    -8.146269e-02    -2.121783e-02    +2.428201e-02    +1.390246e-01
+1.570000e+02    +4.620884e-01    -1.631142e-02    -1.385679e-02    +1.116666e-01    -1.149383e-01    -8.708661e-02    +1.276212e-01    +1.632215e-01
+1.580000e+02    +3.646789e-01    -1.070661e-02    -1.022351e-02    +2.855612e-02    -1.381916e-01    -3.142818e-02    +4.075867e-02    +1.228863e-01
+1.590000e+02    +4.501228e-01    -9.619588e-03    -5.180810e-03    +1.041101e-01    -1.053439e-01    -5.918207e-02    +7.281354e-02    +1.690237e-01
+1.600000e+02    +3.880022e-01    -1.029275e-02    -1.352430e-02    +4.314002e-02    -1.231864e-01    -2.081961e-02    +1.639780e-02    +1.384637e-01
+1.610000e+02    +3.208057e-01    +6.816052e-04    -3.328944e-03    +6.451655e-02    -8.513993e-02    +1.460706e-02    +2.473829e-02    +1.018850e-01
