*************************************************************************             
 Light Scattering by Non-Spherical Particles + Polarization.                              
 Computation of Mueller matrix for convex polyhedron. 	         
 (Convex Hull Construction + Merge If Triangular Faces On Same Plane.)             
 Geometric optics + Monte Carlo, Diffraction is not considered.       		     
 2025.06 		     
 Mu Quan,  Email: mu.quan@foxmail.com 		     
*************************************************************************
Hits counter: 33712; Total incoming NumPhoton:100000 (about 3.371200e+01%).
sum_Mlr_M11: 3.370689e+04; Missing:5.106788e+00 (about 1.514828e-02%).
Total run time: 2.956700e+01 seconds.
========================================================================== 
Scattering Angle      F11           -F12/F11         -F13/F11         -F14/F11         -F21/F11          F22/F11          F23/F11          F24/F11          F31/F11          F32/F11          F33/F11          F34/F11          F41/F11          F42/F11          F43/F11          F44/F11
+1.000000e+01    +8.789872e-01    +1.242610e-01    -1.816841e-04    +5.788963e-04    +1.247323e-01    +8.122051e-01    +1.089521e-02    +8.498932e-03    -5.607383e-04    -1.111014e-02    +7.845570e-01    +4.216490e-02    -6.040387e-04    +8.599908e-03    -4.226133e-02    +9.713240e-01
+1.100000e+01    +1.066460e+00    +1.150507e-01    -2.685212e-03    -1.095664e-03    +1.146001e-01    +8.723395e-01    -3.410472e-02    -1.028322e-02    -2.759876e-03    +3.429472e-02    +8.479040e-01    +1.697486e-02    +1.167487e-03    -9.657593e-03    -1.759091e-02    +9.738631e-01
+1.200000e+01    +8.062643e-01    +1.424441e-01    -1.932503e-03    +1.024107e-04    +1.427141e-01    +8.405273e-01    +1.853025e-02    +5.103739e-03    -1.973906e-03    -1.939466e-02    +8.137956e-01    +2.115015e-02    -1.411063e-04    +5.357389e-03    -2.118154e-02    +9.719212e-01
+1.300000e+01    +6.940765e-01    +1.425819e-01    -2.405516e-03    -9.318277e-04    +1.427197e-01    +9.661291e-01    -3.899179e-02    -9.414920e-03    -2.127625e-03    +3.975678e-02    +9.437888e-01    -9.550927e-03    +9.020556e-04    -9.205019e-03    +9.604785e-03    +9.763002e-01
+1.400000e+01    +7.360474e-01    +1.415554e-01    -3.303971e-04    -1.645978e-03    +1.413149e-01    +8.832789e-01    +2.447012e-02    -1.084223e-02    +1.133000e-04    -2.513585e-02    +8.507481e-01    +1.666159e-02    +1.552940e-03    -1.040059e-02    -1.677864e-02    +9.659940e-01
+1.500000e+01    +7.718184e-01    +1.630768e-01    +1.607044e-03    -1.413803e-03    +1.629905e-01    +8.543070e-01    +5.199794e-03    -1.728086e-02    +1.226853e-03    -5.194134e-03    +8.244323e-01    +4.222852e-03    +1.442745e-03    -1.815403e-02    -4.237384e-03    +9.674099e-01
+1.600000e+01    +8.114227e-01    +1.525087e-01    -5.883083e-03    +2.883271e-04    +1.528411e-01    +8.668402e-01    -5.016303e-02    +3.625866e-03    -6.493700e-03    +4.896664e-02    +8.377992e-01    -2.837315e-03    -2.036960e-04    +4.341488e-03    +3.217633e-03    +9.689050e-01
+1.700000e+01    +6.522180e-01    +1.862303e-01    -4.039216e-04    +1.018987e-05    +1.859991e-01    +9.298114e-01    +1.027483e-02    -2.614204e-03    -2.244412e-04    -1.087687e-02    +8.938488e-01    +4.886649e-03    +3.688744e-04    -1.524398e-03    -4.880057e-03    +9.619411e-01
+1.800000e+01    +7.200441e-01    +1.960805e-01    +6.919748e-04    -5.234436e-04    +1.965374e-01    +9.311041e-01    -8.559910e-04    +5.967191e-03    +7.470214e-04    +1.620699e-03    +8.928649e-01    -9.489653e-03    +8.244078e-05    +4.721836e-03    +9.598024e-03    +9.591321e-01
+1.900000e+01    +5.993438e-01    +2.000675e-01    -1.381346e-04    +4.657970e-05    +1.998170e-01    +9.448160e-01    +1.512675e-03    -1.819593e-03    -3.010666e-04    -1.068147e-03    +9.064610e-01    -8.520412e-03    +1.741384e-04    -1.238772e-03    +8.537019e-03    +9.598530e-01
+2.000000e+01    +5.562299e-01    +2.080517e-01    -9.090761e-04    -4.452226e-05    +2.084856e-01    +9.489119e-01    -2.952641e-03    +4.141726e-03    -1.171866e-03    +2.529182e-03    +9.078196e-01    -3.321012e-02    -2.221856e-04    +4.210215e-03    +3.302299e-02    +9.566931e-01
+2.100000e+01    +6.862837e-01    +1.741379e-01    +2.709523e-03    -5.024625e-04    +1.750881e-01    +9.381527e-01    +2.839438e-02    +6.455224e-04    +1.130307e-03    -2.768434e-02    +8.964837e-01    -6.870589e-02    +6.091023e-04    +5.599032e-04    +6.784943e-02    +9.546820e-01
+2.200000e+01    +5.201520e-01    +2.091214e-01    -2.573362e-03    -6.305235e-04    +2.102121e-01    +9.610186e-01    +2.189409e-02    -1.598998e-03    +5.577674e-04    -2.336180e-02    +9.091870e-01    -3.639751e-02    -4.801501e-04    +6.336964e-03    +3.689287e-02    +9.401568e-01
+2.300000e+01    +5.193178e-01    +2.236538e-01    +1.636856e-03    -1.076858e-03    +2.222756e-01    +9.496744e-01    +4.598492e-02    -6.783142e-04    +1.176421e-03    -4.371746e-02    +8.970508e-01    -5.038400e-02    +1.647774e-04    -2.232522e-03    +4.957618e-02    +9.422877e-01
+2.400000e+01    +1.607030e+01    -3.468469e-02    -7.811806e-06    +2.384483e-05    -3.469928e-02    +9.974627e-01    +2.520381e-03    -4.294604e-04    +6.993371e-05    -2.472637e-03    +9.946572e-01    -2.737120e-03    +3.267692e-05    -3.137071e-04    +2.727465e-03    +9.970126e-01
+2.500000e+01    +1.215932e+01    -3.626721e-02    +3.777522e-04    -5.400297e-05    -3.626694e-02    +9.943149e-01    +1.878834e-03    -1.507628e-05    -2.937280e-04    -1.860087e-03    +9.911723e-01    -4.838457e-03    -3.148297e-05    -3.854116e-04    +4.846671e-03    +9.965840e-01
+2.600000e+01    +9.554408e+00    -3.502542e-02    -3.967819e-04    -6.603181e-06    -3.501414e-02    +9.960772e-01    -2.265577e-03    -1.124914e-04    +2.760319e-04    +2.250823e-03    +9.917240e-01    -2.515108e-03    +4.251589e-05    -5.792772e-04    +3.054511e-03    +9.950052e-01
+2.700000e+01    +8.348314e+00    -3.578075e-02    +8.916715e-05    +1.629799e-05    -3.574657e-02    +9.922004e-01    -4.634875e-03    +4.381420e-04    -2.571573e-04    +4.549444e-03    +9.868371e-01    -4.872656e-03    -2.843278e-05    -2.312602e-04    +4.873675e-03    +9.942008e-01
+2.800000e+01    +6.576955e+00    -3.509566e-02    -3.861875e-04    +4.397591e-05    -3.509388e-02    +9.952476e-01    -5.922332e-03    +4.042071e-04    +5.077203e-04    +5.884188e-03    +9.887653e-01    -5.261362e-03    -3.457388e-05    +4.729297e-05    +5.337806e-03    +9.928057e-01
+2.900000e+01    +5.271065e+00    -3.707542e-02    +2.129885e-04    +1.824103e-05    -3.711385e-02    +9.930287e-01    +3.574250e-03    -2.210015e-04    -5.760934e-04    -3.613955e-03    +9.851639e-01    -7.265665e-03    +2.417007e-05    +5.079773e-04    +7.369447e-03    +9.910104e-01
+3.000000e+01    +4.009945e+00    -3.086526e-02    +2.268704e-04    +4.733980e-05    -3.095429e-02    +9.885867e-01    +1.355234e-03    +4.558688e-04    -7.781233e-04    -8.121846e-04    +9.773745e-01    -1.055673e-02    -1.246627e-04    +4.102275e-04    +1.186125e-02    +9.868451e-01
+3.100000e+01    +3.687856e+00    -3.097776e-02    +2.624182e-03    -5.693259e-05    -3.098789e-02    +9.837356e-01    -1.687464e-03    +1.093667e-03    -3.110388e-03    +6.894252e-04    +9.669447e-01    -6.206666e-03    +1.448396e-05    +5.903263e-05    +3.562079e-03    +9.794624e-01
+3.200000e+01    +2.878878e+00    -2.768597e-02    +1.753444e-03    -4.575454e-05    -2.739714e-02    +9.801130e-01    +4.341708e-03    +2.700772e-03    -1.543427e-03    -5.073297e-03    +9.550862e-01    -1.349642e-02    -2.970759e-07    +3.321550e-03    +1.420935e-02    +9.726182e-01
+3.300000e+01    +2.441634e+00    -3.539313e-02    +4.722965e-03    +1.357038e-04    -3.559791e-02    +9.786731e-01    -2.439587e-03    +3.492351e-03    -4.585388e-03    +6.555339e-04    +9.467368e-01    -2.412681e-02    +1.523768e-05    +4.226788e-03    +2.029542e-02    +9.617107e-01
+3.400000e+01    +2.104430e+00    -1.760957e-02    +6.154333e-04    +1.930126e-04    -1.735156e-02    +9.586087e-01    +9.502854e-03    -6.637561e-03    -9.794877e-04    -9.755612e-03    +9.127286e-01    -6.558563e-03    +1.943029e-04    -2.824046e-03    +6.836458e-03    +9.502822e-01
+3.500000e+01    +1.715202e+00    -2.070599e-03    -5.826802e-04    +6.042843e-05    -2.061353e-03    +9.584873e-01    +8.259557e-03    +7.026064e-03    +1.331238e-04    -8.058152e-03    +8.849025e-01    -1.942946e-02    -1.128356e-04    +2.358461e-03    +1.959181e-02    +9.202613e-01
+3.600000e+01    +1.421326e+00    +1.260065e-03    -5.125876e-03    +5.055620e-05    +1.051671e-03    +9.574971e-01    -5.979465e-03    -9.631204e-03    +6.457165e-03    +5.719096e-03    +8.616599e-01    -1.971113e-02    -2.592850e-05    -5.642967e-03    +1.795583e-02    +8.969592e-01
+3.700000e+01    +1.278357e+00    +2.524639e-02    -3.652001e-03    -1.035660e-04    +2.492731e-02    +9.453128e-01    -3.345980e-03    -2.332198e-03    +3.641145e-03    +5.597800e-03    +8.598076e-01    -4.262859e-02    -3.080881e-04    -1.461443e-02    +3.715986e-02    +9.057560e-01
+3.800000e+01    +1.228152e+00    +2.267938e-02    +1.116049e-03    +1.849770e-04    +2.250851e-02    +9.328441e-01    -8.635913e-03    -2.092573e-02    +3.289769e-04    +6.113135e-03    +8.307297e-01    -4.393710e-02    +3.064246e-04    -2.580863e-02    +4.478454e-02    +8.881706e-01
+3.900000e+01    +9.687578e-01    +4.502639e-02    +1.285594e-03    +4.649502e-05    +4.502205e-02    +8.991509e-01    +1.848044e-02    -5.992922e-03    -1.820603e-03    -1.548243e-02    +7.450165e-01    -6.746386e-02    -1.062715e-03    +1.138842e-03    +6.645212e-02    +8.333604e-01
+4.000000e+01    +8.696191e-01    +7.230019e-02    -1.303749e-03    -6.812516e-04    +7.041287e-02    +8.269520e-01    -3.292059e-02    -8.940742e-03    +2.750821e-03    +2.033620e-02    +5.552949e-01    -6.663413e-02    +2.821448e-04    -6.385662e-05    +6.331367e-02    +7.055025e-01
+4.100000e+01    +7.321035e-01    +8.782403e-02    -4.143481e-03    +7.477170e-04    +8.702254e-02    +8.680447e-01    -1.126406e-02    +6.339510e-04    +4.911911e-03    -3.940430e-03    +7.043341e-01    -9.320376e-02    -4.419961e-05    +2.522042e-02    +8.799548e-02    +8.104470e-01
+4.200000e+01    +7.589208e-01    +9.979459e-02    -2.092683e-03    -8.060072e-04    +9.914910e-02    +8.867481e-01    -7.772277e-03    +2.112365e-02    +1.248115e-03    +1.217903e-02    +5.724219e-01    -8.544453e-02    +3.483565e-04    +1.224892e-02    +8.325323e-02    +6.696805e-01
+4.300000e+01    +6.409008e-01    +1.071451e-01    -2.615135e-03    -6.511782e-04    +1.070235e-01    +8.725473e-01    +2.578692e-02    -1.207912e-02    -3.389404e-03    -2.479810e-02    +6.461705e-01    -1.510857e-01    +6.364866e-04    +1.145674e-02    +1.532576e-01    +7.577942e-01
+4.400000e+01    +5.665964e-01    +1.514672e-01    +2.055916e-03    +6.509595e-04    +1.509889e-01    +8.028923e-01    -4.090568e-02    +4.640018e-02    -3.864369e-03    +2.055129e-03    +5.774376e-01    -1.253773e-01    -6.841440e-04    +4.406158e-02    +8.748499e-02    +7.047838e-01
+4.500000e+01    +6.441405e-01    +1.135560e-01    +1.014036e-03    -3.125316e-04    +1.120343e-01    +8.470684e-01    +1.826071e-02    +1.562462e-02    -2.971441e-03    -2.591148e-02    +6.484364e-01    -1.602121e-01    -1.753485e-04    +1.020079e-02    +1.555362e-01    +7.779985e-01
+4.600000e+01    +4.850154e-01    +1.735493e-01    +7.625061e-04    +1.080496e-03    +1.725785e-01    +8.654530e-01    -3.225694e-02    +8.642871e-03    +5.874650e-03    +1.848174e-02    +7.455157e-01    -1.749981e-01    +3.275450e-04    +2.247392e-02    +1.645579e-01    +8.517104e-01
+4.700000e+01    +5.182914e-01    +1.391329e-01    +3.019095e-03    +7.386213e-04    +1.391506e-01    +8.941849e-01    +3.807362e-02    -1.632413e-02    +3.505845e-03    -3.669672e-02    +7.594940e-01    -1.935105e-01    -3.360600e-04    -2.324885e-02    +1.898131e-01    +8.315202e-01
+4.800000e+01    +4.893202e-01    +1.291849e-01    -4.678164e-03    +1.137572e-03    +1.315252e-01    +8.484063e-01    +2.265866e-02    -2.761776e-02    +7.108044e-03    -2.260208e-02    +7.524594e-01    -1.432768e-01    +1.352595e-03    +3.647647e-02    +1.397785e-01    +8.649464e-01
+4.900000e+01    +5.476860e-01    +1.278400e-01    +3.877652e-03    -1.366219e-03    +1.275092e-01    +8.184383e-01    +4.274490e-03    -1.438688e-02    -2.099101e-04    +8.830203e-03    +7.089487e-01    -1.361971e-01    +1.153323e-03    -1.401078e-02    +1.541282e-01    +8.427773e-01
+5.000000e+01    +4.765999e-01    +1.547472e-01    +2.446237e-03    -1.926835e-03    +1.558699e-01    +7.500743e-01    +2.868327e-02    -8.168549e-03    +4.724505e-04    -1.154150e-02    +6.250528e-01    -1.411159e-01    -9.159910e-04    -2.650797e-02    +1.613708e-01    +7.637649e-01
+5.100000e+01    +9.469892e-01    -2.494646e-02    +7.536012e-04    +6.310760e-04    -2.401137e-02    +9.166426e-01    +4.967223e-03    -6.720807e-03    +2.592960e-03    -7.607161e-03    +8.484683e-01    -6.663941e-02    +7.437399e-05    +1.829978e-02    +6.643684e-02    +9.041245e-01
+5.200000e+01    +1.007570e+00    -1.476554e-02    -3.971731e-05    +4.575836e-04    -1.439364e-02    +8.992968e-01    +7.413287e-03    -4.586194e-03    +1.945873e-03    -1.596223e-02    +8.303746e-01    -9.763356e-02    +4.186594e-04    -8.265337e-04    +9.234077e-02    +8.937043e-01
+5.300000e+01    +9.343436e-01    -2.715632e-02    -1.786948e-03    +1.268880e-04    -2.671005e-02    +8.528304e-01    -1.529418e-02    -1.621998e-02    +9.492591e-04    +2.562550e-02    +7.787474e-01    -1.000649e-01    +9.510574e-04    +1.452098e-02    +9.297279e-02    +8.859962e-01
+5.400000e+01    +8.544365e-01    -2.765453e-03    -2.121752e-03    -8.201017e-04    -1.688671e-03    +8.749484e-01    -1.948768e-03    +3.160101e-03    -2.519796e-03    +3.706034e-03    +7.889951e-01    -1.036733e-01    +1.128951e-04    +4.171622e-03    +9.671471e-02    +8.839882e-01
+5.500000e+01    +7.180825e-01    -1.077216e-02    -1.856291e-03    +1.414103e-04    -1.173348e-02    +8.748461e-01    -1.751328e-03    -1.550893e-02    +5.662614e-04    -1.259349e-03    +7.824577e-01    -1.391258e-01    -3.132834e-04    +2.748783e-03    +1.104057e-01    +8.476659e-01
+5.600000e+01    +6.044118e-01    +1.312556e-02    -5.027181e-03    -5.091857e-04    +1.299457e-02    +8.674744e-01    +4.478983e-03    +2.350281e-03    -1.495526e-03    -4.251690e-03    +7.792948e-01    -1.021304e-01    -6.364540e-04    +8.359992e-03    +1.219194e-01    +8.702748e-01
+5.700000e+01    +5.834209e-01    +4.496285e-02    +3.723329e-03    +7.180220e-04    +4.559906e-02    +8.816613e-01    -1.065850e-02    -1.093565e-04    +1.814579e-03    +5.221495e-03    +7.626914e-01    -1.773445e-01    -7.760033e-04    -5.037447e-03    +1.545214e-01    +8.352755e-01
+5.800000e+01    +6.116055e-01    +3.832377e-02    +2.070802e-03    -8.727943e-04    +3.539184e-02    +8.122770e-01    -1.223634e-02    +1.501157e-02    -7.167403e-03    +1.793242e-02    +7.175544e-01    -1.385527e-01    -8.297978e-04    +1.846965e-03    +1.166708e-01    +8.459675e-01
+5.900000e+01    +5.875971e-01    +7.242127e-02    -2.371500e-03    +4.972262e-04    +7.269824e-02    +7.938596e-01    -5.999897e-03    +1.498627e-02    +2.218575e-03    -2.066009e-03    +6.815742e-01    -1.205345e-01    +1.103787e-03    +3.045780e-03    +1.130010e-01    +8.182794e-01
+6.000000e+01    +6.580498e-01    +5.635961e-02    -4.471098e-04    +8.658724e-04    +6.003804e-02    +7.862274e-01    +1.506635e-02    -1.068095e-02    -4.324831e-04    -1.226334e-03    +6.812982e-01    -1.770603e-01    -3.637722e-04    +1.411313e-02    +1.873872e-01    +8.134277e-01
+6.100000e+01    +5.697136e-01    +7.049166e-02    +2.974982e-03    +4.692072e-04    +7.130574e-02    +7.228952e-01    +4.376091e-02    +6.891151e-03    +2.512515e-03    -6.542252e-02    +6.049259e-01    -1.380040e-01    -1.042675e-03    +1.155038e-02    +1.465694e-01    +8.114994e-01
+6.200000e+01    +4.962691e-01    +1.009668e-01    -3.844356e-03    +7.705969e-05    +9.975393e-02    +7.388313e-01    -1.849839e-02    -1.407397e-02    +7.812482e-04    +3.156931e-02    +6.044421e-01    -1.966191e-01    +6.983198e-04    +1.290833e-02    +1.877551e-01    +7.980707e-01
+6.300000e+01    +4.482697e-01    +1.144406e-01    -1.651421e-03    -5.578469e-04    +1.128686e-01    +7.048773e-01    -8.044419e-04    +3.158808e-03    -2.319877e-03    +9.148027e-03    +5.703891e-01    -1.708202e-01    -5.811379e-05    +9.811204e-03    +1.639643e-01    +7.651283e-01
+6.400000e+01    +5.221564e-01    +7.668754e-02    +2.470118e-03    +7.782758e-04    +7.400857e-02    +7.250551e-01    +1.720073e-02    -9.984414e-03    +5.746183e-03    -2.326597e-02    +5.853790e-01    -1.583542e-01    +9.517450e-04    -9.227759e-03    +1.488668e-01    +8.111963e-01
+6.500000e+01    +4.360164e-01    +9.031084e-02    +8.443669e-03    -2.367016e-03    +8.850095e-02    +7.262575e-01    +3.678086e-02    +2.019646e-02    +3.915893e-03    -3.644595e-02    +5.873097e-01    -1.769524e-01    +2.918505e-04    +2.164976e-02    +1.439699e-01    +7.817489e-01
+6.600000e+01    +3.896458e-01    +9.835920e-02    -6.574813e-04    +2.531180e-03    +1.009966e-01    +6.477148e-01    +4.684296e-02    -5.513938e-03    +3.305129e-03    -4.155549e-02    +5.069254e-01    -1.452368e-01    -1.068380e-03    +2.502715e-02    +1.609519e-01    +8.063604e-01
+6.700000e+01    +5.561929e-01    +6.877431e-02    +7.448813e-03    -7.567260e-04    +6.949909e-02    +7.293769e-01    -4.440861e-02    +3.971304e-03    +4.067563e-04    +4.963862e-02    +6.046954e-01    -1.851948e-01    +2.229081e-04    -1.228547e-02    +1.697687e-01    +8.349736e-01
+6.800000e+01    +5.204279e-01    +7.876893e-02    -4.582761e-05    +6.069038e-04    +7.964001e-02    +6.661041e-01    +1.480020e-02    +1.135502e-02    +9.886088e-04    -3.693739e-03    +5.340343e-01    -1.401578e-01    -9.338214e-04    -4.023034e-03    +1.241877e-01    +8.041843e-01
+6.900000e+01    +4.889154e-01    +7.515401e-02    +5.514136e-03    -2.392749e-04    +7.845867e-02    +6.937304e-01    -2.390806e-02    +8.679480e-03    -1.998341e-03    +1.816382e-02    +5.557964e-01    -1.446084e-01    -6.956525e-06    -1.988722e-02    +1.514889e-01    +7.906386e-01
+7.000000e+01    +4.996936e-01    +6.688274e-02    -2.815832e-03    -4.487695e-04    +6.674681e-02    +6.775678e-01    -1.452086e-02    -2.741299e-02    +4.381805e-03    +1.147505e-02    +5.547436e-01    -1.566735e-01    +3.981270e-04    +7.065815e-03    +1.616462e-01    +8.048292e-01
+7.100000e+01    +5.397186e-01    +8.214073e-02    +4.946660e-03    -4.258849e-04    +8.260443e-02    +6.169368e-01    +3.631660e-02    -1.618797e-03    -1.075297e-04    -2.743293e-02    +4.063694e-01    -7.999726e-02    +3.864571e-05    +7.984286e-04    +6.934619e-02    +7.298114e-01
+7.200000e+01    +5.607390e-01    +5.176938e-02    -7.043166e-04    +1.012961e-03    +5.218048e-02    +6.833392e-01    -1.384672e-02    -2.860349e-02    +3.547795e-03    +1.478387e-02    +4.945869e-01    -1.415907e-01    +4.357326e-04    -2.852956e-03    +1.423812e-01    +7.525286e-01
+7.300000e+01    +5.368374e-01    +7.165730e-02    -8.561017e-03    +1.120283e-03    +6.947068e-02    +6.409042e-01    -2.725605e-03    +1.199927e-03    +9.538325e-04    -3.113175e-02    +4.179050e-01    -1.156930e-01    +5.341165e-06    +5.777333e-02    +1.112749e-01    +7.005487e-01
+7.400000e+01    +5.004392e-01    +7.145634e-02    +6.654882e-03    -2.352491e-03    +7.145663e-02    +6.022687e-01    -7.806501e-02    +4.512420e-02    +1.804261e-03    +7.584448e-02    +3.705804e-01    -8.954729e-02    -6.453846e-04    -5.554867e-03    +9.254924e-02    +6.899562e-01
+7.500000e+01    +4.317293e-01    +7.805627e-02    -4.499236e-03    +1.817714e-04    +7.421584e-02    +6.336213e-01    +4.927117e-04    +1.378927e-02    -1.836006e-03    -3.195670e-03    +4.568813e-01    -1.238015e-01    -5.229973e-04    +2.023256e-03    +1.190078e-01    +7.441609e-01
+7.600000e+01    +5.128802e-01    +5.247671e-02    -4.991571e-03    +1.002192e-03    +4.989117e-02    +5.666826e-01    +5.632448e-02    +1.743854e-02    -3.134867e-03    -5.341543e-02    +4.346978e-01    -1.225041e-01    -2.212860e-04    +1.238902e-02    +1.048619e-01    +7.599955e-01
+7.700000e+01    +4.666571e-01    +7.569586e-02    +8.280090e-03    +4.490457e-04    +7.224406e-02    +5.779823e-01    +6.400220e-02    +2.151739e-02    -6.236481e-03    -5.648752e-02    +4.345998e-01    -1.284417e-01    -3.333696e-03    -1.270993e-02    +1.105295e-01    +7.857612e-01
+7.800000e+01    +4.591275e-01    +5.891749e-02    -1.811161e-04    +1.039853e-03    +5.860047e-02    +5.304717e-01    -2.512040e-02    -1.219274e-02    +7.810944e-03    +3.429149e-02    +4.126286e-01    -1.394360e-01    +7.604728e-05    +1.738915e-02    +1.432682e-01    +7.744453e-01
+7.900000e+01    +4.759949e-01    +5.985576e-02    +3.356483e-05    +1.345450e-03    +5.801433e-02    +5.519574e-01    -3.112282e-02    -4.004269e-02    +1.207698e-03    +5.693634e-02    +4.536703e-01    -1.372838e-01    -1.138627e-03    -1.438415e-02    +1.460272e-01    +7.465516e-01
+8.000000e+01    +4.074046e-01    +7.301596e-02    -1.139937e-02    +6.047634e-04    +6.993749e-02    +5.538396e-01    +8.236288e-03    -3.351356e-02    -2.239379e-03    -1.583542e-02    +4.226286e-01    -1.079201e-01    +1.123603e-03    +2.662092e-02    +1.344360e-01    +7.896511e-01
+8.100000e+01    +3.800273e-01    +8.917026e-02    -8.424708e-03    -1.348079e-03    +8.891937e-02    +5.869996e-01    +6.725997e-04    +2.316011e-02    -8.590965e-03    -6.772997e-03    +4.174003e-01    -1.481652e-01    +1.866831e-03    +2.290214e-02    +1.441440e-01    +7.560005e-01
+8.200000e+01    +4.365958e-01    +7.030229e-02    +7.159044e-03    -6.802086e-04    +6.756698e-02    +5.011863e-01    -8.903781e-03    +2.325021e-02    -2.248770e-03    +1.887835e-02    +3.702781e-01    -1.284894e-01    -1.822574e-03    -2.657728e-02    +1.436154e-01    +7.683580e-01
+8.300000e+01    +4.056130e-01    +6.883338e-02    -1.527594e-02    +2.475685e-03    +6.371885e-02    +6.820886e-01    -1.541526e-02    -9.993196e-03    +5.471609e-03    +1.310432e-02    +5.401833e-01    -2.016692e-01    +6.838632e-04    +2.088816e-02    +1.987157e-01    +7.810430e-01
+8.400000e+01    +4.744847e-01    +8.175220e-02    -1.397161e-04    -2.436666e-03    +8.085808e-02    +5.116127e-01    -2.766935e-02    +4.675822e-03    +5.177458e-04    +1.319790e-02    +3.530456e-01    -1.149973e-01    +3.951766e-03    -5.719346e-03    +1.489678e-01    +7.417794e-01
+8.500000e+01    +3.581832e-01    +7.724866e-02    +3.855145e-03    -1.853592e-03    +7.701012e-02    +5.655393e-01    -1.148757e-01    -1.026917e-02    -3.278108e-03    +1.008652e-01    +4.301503e-01    -1.435808e-01    +1.681009e-03    -2.613647e-02    +1.259629e-01    +7.606828e-01
